ID,Age.Cohort,Age,Gender,Expenditures,Ethnicity
22124,C.13-17,14,Female,5920,Hispanic
22125,A.0-5,5,Male,2549,Hispanic
22446,C.13-17,17,Male,2686,Hispanic
22534,E.22-50,34,Female,40277,Hispanic
22541,E.22-50,27,Female,42702,White not Hispanic
22682,E.22-50,37,Female,42455,White not Hispanic
22697,C.13-17,13,Male,4097,Hispanic
22700,A.0-5,4,Male,1957,Hispanic
22764,A.0-5,5,Male,1646,Hispanic
22879,A.0-5,4,Male,1525,Hispanic
22964,A.0-5,4,Male,1294,Hispanic
22988,C.13-17,16,Male,4664,Multi Race
23032,E.22-50,22,Male,43292,White not Hispanic
23450,C.13-17,16,Female,1432,Asian
23493,A.0-5,0,Male,1435,Hispanic
23505,A.0-5,4,Male,1631,White not Hispanic
23559,D.18-21,20,Male,8687,Black
23617,D.18-21,19,Female,8096,Hispanic
23651,A.0-5,3,Male,1123,Hispanic
23861,F.51-Over,77,Female,55015,Asian
23890,A.0-5,4,Male,1644,White not Hispanic
23915,C.13-17,17,Female,3678,Hispanic
24042,D.18-21,18,Male,8999,White not Hispanic
24078,C.13-17,16,Male,1740,Hispanic
24128,D.18-21,21,Female,15176,Hispanic
24171,E.22-50,35,Male,27417,White not Hispanic
24270,D.18-21,18,Female,9078,White not Hispanic
24341,B.6-12,9,Female,1963,Hispanic
24510,C.13-17,15,Male,4670,Hispanic
24545,A.0-5,4,Male,2553,White not Hispanic
24617,C.13-17,14,Male,3394,Hispanic
24635,A.0-5,0,Female,995,Hispanic
24731,A.0-5,0,Female,1068,White not Hispanic
24786,C.13-17,15,Male,4818,White not Hispanic
24838,A.0-5,2,Male,650,White not Hispanic
24847,D.18-21,21,Female,15179,White not Hispanic
24850,D.18-21,21,Female,16237,Hispanic
24895,E.22-50,27,Female,47242,White not Hispanic
24959,F.51-Over,82,Female,58922,White not Hispanic
25000,D.18-21,21,Male,9592,Hispanic
25184,D.18-21,21,Male,10008,White not Hispanic
25281,E.22-50,28,Female,42346,White not Hispanic
25300,B.6-12,6,Female,2119,Hispanic
25321,E.22-50,40,Male,42840,White not Hispanic
25370,D.18-21,19,Female,10292,Hispanic
25457,C.13-17,16,Female,3501,Hispanic
25575,E.22-50,23,Male,40992,White not Hispanic
25613,A.0-5,0,Male,741,Hispanic
25649,E.22-50,42,Male,37916,White not Hispanic
25743,B.6-12,11,Female,1339,White not Hispanic
25747,F.51-Over,74,Female,54266,White not Hispanic
25765,A.0-5,4,Male,1016,Hispanic
26071,B.6-12,6,Female,1582,Hispanic
26099,D.18-21,20,Male,13345,Asian
26169,E.22-50,33,Female,47204,White not Hispanic
26423,C.13-17,17,Male,4723,Hispanic
26427,C.13-17,13,Male,2460,Hispanic
26437,A.0-5,0,Male,2296,Multi Race
26457,C.13-17,16,Female,5718,Hispanic
26648,D.18-21,21,Female,7571,Asian
27029,D.18-21,18,Male,7207,Asian
27031,A.0-5,4,Male,1028,Hispanic
27150,B.6-12,12,Female,3141,Hispanic
27311,C.13-17,17,Male,4556,White not Hispanic
27356,E.22-50,25,Female,49142,White not Hispanic
27484,B.6-12,11,Male,3585,Hispanic
27547,B.6-12,7,Female,2039,Hispanic
27561,B.6-12,12,Female,2431,White not Hispanic
27824,B.6-12,11,Male,1024,White not Hispanic
27921,E.22-50,22,Female,43858,Hispanic
28013,A.0-5,1,Male,762,Hispanic
28053,F.51-Over,62,Female,49749,White not Hispanic
28066,D.18-21,20,Male,7081,Hispanic
28083,A.0-5,5,Female,2291,Hispanic
28085,B.6-12,9,Female,3374,White not Hispanic
28189,A.0-5,4,Male,2359,Hispanic
28384,E.22-50,33,Female,40809,Hispanic
28469,A.0-5,4,Male,2211,Hispanic
28502,D.18-21,19,Male,11527,Hispanic
28514,C.13-17,15,Female,3959,Hispanic
28728,D.18-21,20,Male,12854,White not Hispanic
28948,A.0-5,1,Male,966,Hispanic
29038,D.18-21,21,Male,7339,Hispanic
29193,E.22-50,24,Male,46703,White not Hispanic
29411,B.6-12,8,Female,3378,Hispanic
29440,B.6-12,8,Male,2807,White not Hispanic
29447,E.22-50,30,Male,46246,White not Hispanic
29458,C.13-17,17,Male,4513,Hispanic
29506,F.51-Over,56,Female,48215,White not Hispanic
29574,C.13-17,16,Male,2357,White not Hispanic
29795,D.18-21,20,Male,9597,White not Hispanic
29804,C.13-17,14,Male,386,Asian
29840,B.6-12,7,Female,1473,Hispanic
29885,C.13-17,16,Male,4112,Hispanic
29902,D.18-21,19,Female,8530,Asian
29914,A.0-5,5,Male,1315,Asian
30012,C.13-17,14,Male,4653,Hispanic
30234,F.51-Over,78,Female,55430,American Indian
30385,B.6-12,9,Male,722,White not Hispanic
30438,D.18-21,19,Female,7667,Hispanic
30481,D.18-21,20,Male,12587,Hispanic
30517,B.6-12,7,Male,1725,Asian
30617,A.0-5,4,Female,791,White not Hispanic
30673,B.6-12,10,Female,2189,White not Hispanic
30689,A.0-5,3,Male,668,Hispanic
30780,D.18-21,20,Female,6218,Hispanic
30909,C.13-17,17,Male,2015,Hispanic
31063,D.18-21,21,Male,8948,Hispanic
31163,F.51-Over,71,Female,52472,White not Hispanic
31168,B.6-12,11,Female,2918,Multi Race
31277,A.0-5,2,Male,561,Hispanic
31307,F.51-Over,88,Female,54655,White not Hispanic
31437,F.51-Over,70,Female,59622,Hispanic
31632,E.22-50,23,Male,32344,Asian
31642,B.6-12,11,Female,3335,White not Hispanic
31658,F.51-Over,60,Female,46873,Black
31859,B.6-12,10,Male,2380,White not Hispanic
31910,C.13-17,17,Female,4921,Hispanic
31919,B.6-12,10,Male,1455,White not Hispanic
31960,E.22-50,25,Male,38730,White not Hispanic
31973,E.22-50,38,Female,35088,Hispanic
32161,B.6-12,11,Female,2059,Asian
32186,C.13-17,16,Female,4054,Asian
32326,B.6-12,7,Male,1212,Black
32395,D.18-21,19,Male,12178,White not Hispanic
32398,B.6-12,11,Male,1084,Hispanic
32519,C.13-17,15,Female,3529,Asian
32604,D.18-21,20,Female,11775,White not Hispanic
32664,E.22-50,24,Female,36279,White not Hispanic
32745,E.22-50,27,Female,47021,White not Hispanic
32781,B.6-12,8,Male,641,Asian
32893,D.18-21,20,Male,6362,White not Hispanic
33032,B.6-12,11,Female,3695,Hispanic
33305,A.0-5,4,Male,1437,Asian
33339,B.6-12,11,Male,1582,White not Hispanic
33360,E.22-50,25,Female,41984,Asian
33375,A.0-5,2,Male,1347,White not Hispanic
33464,D.18-21,18,Female,13593,White not Hispanic
33509,A.0-5,1,Female,1767,Hispanic
33551,B.6-12,12,Female,2880,White not Hispanic
33643,C.13-17,13,Male,4483,Asian
33886,C.13-17,13,Male,4003,White not Hispanic
34146,F.51-Over,69,Male,67884,White not Hispanic
34278,E.22-50,23,Female,46590,White not Hispanic
34522,E.22-50,31,Male,39007,White not Hispanic
34681,D.18-21,21,Male,10046,White not Hispanic
34751,B.6-12,9,Male,2695,Asian
34763,F.51-Over,85,Male,64898,White not Hispanic
34821,E.22-50,26,Female,36738,Hispanic
34983,E.22-50,27,Male,34394,White not Hispanic
34997,F.51-Over,68,Male,49502,Hispanic
35066,C.13-17,13,Male,4554,Black
35093,B.6-12,9,Male,1824,Asian
35298,E.22-50,30,Female,43134,White not Hispanic
35360,B.6-12,10,Female,1622,Multi Race
35503,C.13-17,13,Male,3522,Hispanic
35590,B.6-12,8,Male,2776,Hispanic
35630,D.18-21,18,Female,14578,White not Hispanic
35656,D.18-21,21,Male,10150,Hispanic
35666,D.18-21,20,Female,9207,White not Hispanic
35684,D.18-21,20,Female,7605,Hispanic
35799,B.6-12,8,Male,2954,Hispanic
35970,C.13-17,13,Male,2797,Black
36123,F.51-Over,59,Male,42739,Asian
36179,C.13-17,15,Female,2900,Asian
36391,A.0-5,1,Female,384,White not Hispanic
36459,D.18-21,21,Female,9504,Asian
36576,E.22-50,27,Female,38031,Hispanic
36578,D.18-21,19,Male,7083,White not Hispanic
36720,B.6-12,9,Male,2877,White not Hispanic
36802,B.6-12,6,Male,1173,Hispanic
37075,D.18-21,21,Female,12083,Hispanic
37287,D.18-21,19,Male,3157,White not Hispanic
37297,C.13-17,15,Male,4533,Hispanic
37335,C.13-17,17,Female,3694,White not Hispanic
37415,D.18-21,18,Female,8299,White not Hispanic
37454,F.51-Over,76,Male,62097,Hispanic
37524,D.18-21,18,Male,11935,Hispanic
37694,D.18-21,20,Male,11034,Hispanic
37731,D.18-21,19,Male,12481,White not Hispanic
37846,D.18-21,18,Female,9200,Asian
38017,D.18-21,20,Female,10294,Hispanic
38104,D.18-21,21,Male,11668,Asian
38121,E.22-50,37,Female,37948,White not Hispanic
38584,C.13-17,14,Female,5530,White not Hispanic
38732,C.13-17,16,Male,3909,Black
38889,C.13-17,16,Male,5041,Asian
38975,E.22-50,24,Female,39345,White not Hispanic
39060,D.18-21,18,Female,16310,Hispanic
39095,D.18-21,20,Female,6272,White not Hispanic
39131,A.0-5,0,Female,685,White not Hispanic
39134,B.6-12,9,Male,2490,Hispanic
39287,F.51-Over,59,Female,44734,White not Hispanic
39672,F.51-Over,54,Female,52833,White not Hispanic
39767,B.6-12,10,Female,2341,Black
39795,A.0-5,5,Female,1088,White not Hispanic
39942,C.13-17,14,Male,3399,Multi Race
39999,D.18-21,21,Female,11811,Hispanic
40105,C.13-17,17,Male,3945,Hispanic
40159,F.51-Over,73,Female,60198,Asian
40277,B.6-12,9,Female,2781,Hispanic
40313,A.0-5,4,Female,374,Asian
40409,E.22-50,30,Male,36469,White not Hispanic
40412,B.6-12,12,Male,2269,White not Hispanic
40847,D.18-21,21,Female,10973,White not Hispanic
40892,C.13-17,13,Male,1597,Hispanic
40952,E.22-50,25,Female,48684,Hispanic
40987,C.13-17,14,Female,2366,White not Hispanic
41163,E.22-50,32,Female,45017,White not Hispanic
41176,E.22-50,32,Male,43545,Black
41831,B.6-12,7,Male,1645,White not Hispanic
41850,C.13-17,13,Male,4975,Hispanic
41968,C.13-17,14,Female,3257,Hispanic
42216,D.18-21,18,Male,7878,Asian
42229,C.13-17,16,Female,3977,White not Hispanic
42262,B.6-12,6,Male,2247,Hispanic
42265,C.13-17,16,Female,4215,White not Hispanic
42348,F.51-Over,74,Male,52041,White not Hispanic
42489,B.6-12,9,Male,1758,Hispanic
42590,E.22-50,24,Male,51392,Hispanic
42593,A.0-5,0,Female,1398,Black
42657,F.51-Over,86,Male,60452,White not Hispanic
42732,C.13-17,17,Female,4495,Hispanic
42804,C.13-17,15,Female,2744,Hispanic
42905,F.51-Over,74,Female,57760,White not Hispanic
43039,C.13-17,16,Male,3561,Hispanic
43188,D.18-21,21,Female,10063,White not Hispanic
43245,B.6-12,11,Female,2906,Hispanic
43291,B.6-12,11,Male,2140,Multi Race
43308,E.22-50,34,Female,46325,White not Hispanic
43455,F.51-Over,57,Male,48363,White not Hispanic
43478,C.13-17,16,Female,5637,Hispanic
43516,C.13-17,16,Female,3740,White not Hispanic
43574,C.13-17,13,Male,4014,Asian
43586,B.6-12,8,Female,2904,Hispanic
43735,B.6-12,9,Female,2854,White not Hispanic
43762,E.22-50,28,Female,39147,Hispanic
43767,C.13-17,15,Female,4036,White not Hispanic
43768,B.6-12,12,Male,3196,Asian
43881,C.13-17,17,Female,3677,White not Hispanic
43984,D.18-21,20,Male,6397,Hispanic
43990,E.22-50,27,Female,48745,White not Hispanic
44297,D.18-21,20,Male,7446,Hispanic
44312,B.6-12,12,Male,1109,White not Hispanic
44401,C.13-17,17,Male,5163,Hispanic
44451,F.51-Over,67,Male,52243,Hispanic
44613,E.22-50,26,Male,40637,White not Hispanic
44669,C.13-17,14,Female,4774,Hispanic
44973,E.22-50,28,Male,41464,White not Hispanic
45104,F.51-Over,52,Male,51777,Hispanic
45274,F.51-Over,57,Female,42897,White not Hispanic
45319,F.51-Over,76,Male,59829,White not Hispanic
45468,C.13-17,16,Male,3141,Hispanic
45476,B.6-12,9,Male,2028,Asian
45499,C.13-17,14,Female,4363,White not Hispanic
45540,E.22-50,27,Female,37778,Asian
45600,B.6-12,8,Male,1332,White not Hispanic
45625,E.22-50,22,Female,36691,Hispanic
45679,F.51-Over,73,Male,53211,Hispanic
45755,B.6-12,11,Male,1144,Multi Race
45798,B.6-12,11,Female,1217,White not Hispanic
45827,F.51-Over,89,Female,58304,White not Hispanic
45828,A.0-5,2,Female,1113,White not Hispanic
45958,F.51-Over,73,Male,47997,White not Hispanic
45962,D.18-21,19,Female,10502,White not Hispanic
46063,C.13-17,13,Male,5872,White not Hispanic
46251,E.22-50,33,Male,27090,White not Hispanic
46272,E.22-50,32,Female,37697,Black
46389,C.13-17,17,Female,5040,Hispanic
46498,B.6-12,7,Male,2415,White not Hispanic
46628,B.6-12,11,Male,2167,Hispanic
46637,E.22-50,26,Male,41144,Asian
46726,F.51-Over,95,Male,55187,Hispanic
46876,F.51-Over,66,Male,49056,Black
46945,E.22-50,35,Female,32529,White not Hispanic
46977,C.13-17,16,Female,3738,White not Hispanic
47043,E.22-50,25,Male,38619,Multi Race
47059,E.22-50,30,Male,44910,Black
47217,B.6-12,7,Female,2797,Hispanic
47236,C.13-17,16,Male,4975,Hispanic
47553,C.13-17,16,Male,4067,Asian
47748,C.13-17,17,Male,4918,Black
47809,E.22-50,31,Female,47778,Asian
47887,B.6-12,9,Male,2755,Hispanic
47979,E.22-50,22,Male,27058,White not Hispanic
47997,F.51-Over,64,Male,57119,White not Hispanic
48101,C.13-17,15,Female,3728,Asian
48169,C.13-17,16,Male,4550,White not Hispanic
48328,F.51-Over,81,Female,75098,Asian
48353,B.6-12,9,Female,2016,Hispanic
48653,B.6-12,7,Male,1974,Asian
48882,D.18-21,21,Male,12259,Black
48938,E.22-50,39,Male,36576,Black
49026,C.13-17,13,Male,2810,Hispanic
49094,C.13-17,16,Male,3745,Hispanic
49199,B.6-12,10,Female,2854,Hispanic
49285,A.0-5,1,Female,1592,Hispanic
49463,C.13-17,13,Male,4245,White not Hispanic
49506,C.13-17,16,Male,3445,Hispanic
49533,D.18-21,18,Male,3153,Asian
49598,F.51-Over,65,Male,52076,Asian
49631,B.6-12,10,Male,676,White not Hispanic
49818,C.13-17,16,Female,4696,Hispanic
49889,C.13-17,16,Female,4949,Black
49977,E.22-50,25,Female,44916,White not Hispanic
50053,D.18-21,18,Female,11125,Asian
50112,B.6-12,6,Female,4163,Hispanic
50140,C.13-17,14,Male,4608,Hispanic
50208,E.22-50,25,Female,41752,White not Hispanic
50222,D.18-21,19,Female,7564,Multi Race
50270,E.22-50,25,Male,46951,Hispanic
50349,C.13-17,16,Female,3555,White not Hispanic
50478,B.6-12,12,Female,3562,Hispanic
50559,B.6-12,8,Male,2746,Hispanic
50652,C.13-17,15,Male,3015,White not Hispanic
50674,D.18-21,20,Male,9369,Asian
50783,D.18-21,21,Female,8469,Hispanic
50849,E.22-50,25,Female,48021,Black
50913,D.18-21,18,Male,11723,White not Hispanic
50989,C.13-17,14,Male,4219,Hispanic
51150,F.51-Over,75,Male,52147,Hispanic
51253,B.6-12,7,Female,633,White not Hispanic
51259,B.6-12,11,Female,1363,Hispanic
51290,C.13-17,14,Male,3113,Hispanic
51420,C.13-17,13,Male,3417,White not Hispanic
51577,B.6-12,7,Male,776,Hispanic
51635,E.22-50,32,Female,36827,Hispanic
51712,E.22-50,23,Female,43333,White not Hispanic
51754,C.13-17,16,Male,2054,White not Hispanic
51954,B.6-12,6,Female,1335,Asian
52067,B.6-12,6,Female,1790,Black
52073,D.18-21,19,Female,10531,Asian
52177,B.6-12,12,Female,3539,Hispanic
52217,D.18-21,19,Male,10230,Hispanic
52373,E.22-50,27,Female,42969,White not Hispanic
52722,E.22-50,24,Male,48694,White not Hispanic
52727,E.22-50,30,Male,33721,Asian
52794,E.22-50,30,Female,42703,White not Hispanic
52868,E.22-50,30,Male,35523,White not Hispanic
52887,D.18-21,18,Female,8869,Hispanic
52969,F.51-Over,55,Male,49554,White not Hispanic
53008,C.13-17,16,Female,2018,Other
53083,B.6-12,10,Female,2455,White not Hispanic
53225,B.6-12,6,Female,3379,Hispanic
53288,C.13-17,14,Female,3580,Hispanic
53339,F.51-Over,71,Male,46719,White not Hispanic
53435,E.22-50,31,Female,46437,White not Hispanic
53658,C.13-17,14,Male,5514,White not Hispanic
53690,C.13-17,17,Female,5228,Hispanic
53719,E.22-50,33,Female,42265,White not Hispanic
53903,D.18-21,21,Female,13129,Hispanic
53996,D.18-21,19,Female,8714,Asian
54054,D.18-21,20,Male,13248,White not Hispanic
54067,B.6-12,12,Female,1262,White not Hispanic
54110,E.22-50,29,Male,41013,Asian
54223,C.13-17,17,Female,2948,White not Hispanic
54252,F.51-Over,71,Female,55428,Asian
54406,E.22-50,25,Male,38085,Black
54675,C.13-17,13,Female,4005,White not Hispanic
55043,B.6-12,10,Female,4152,Hispanic
55056,F.51-Over,95,Female,54680,Black
55115,C.13-17,15,Female,3190,Hispanic
55162,C.13-17,15,Male,3443,Hispanic
55300,E.22-50,45,Male,46132,Black
55314,C.13-17,17,Female,2184,Hispanic
55345,C.13-17,16,Male,5412,Hispanic
55424,E.22-50,24,Male,37133,White not Hispanic
55442,A.0-5,0,Female,2532,Asian
55877,C.13-17,15,Female,4527,Hispanic
55882,C.13-17,15,Female,3055,White not Hispanic
55958,E.22-50,32,Male,40587,White not Hispanic
56063,D.18-21,21,Male,7488,White not Hispanic
56109,D.18-21,20,Female,9540,White not Hispanic
56202,B.6-12,12,Female,3003,Hispanic
56203,D.18-21,19,Female,7122,Hispanic
56309,B.6-12,7,Female,2191,Hispanic
56318,F.51-Over,68,Male,57363,Hispanic
56400,C.13-17,16,Female,1641,Hispanic
56533,E.22-50,26,Male,37347,White not Hispanic
56539,D.18-21,20,Female,15278,White not Hispanic
56552,D.18-21,20,Female,11070,White not Hispanic
56576,D.18-21,21,Female,9805,White not Hispanic
56592,F.51-Over,88,Male,54875,Hispanic
56736,D.18-21,18,Female,11054,Multi Race
56738,F.51-Over,72,Male,53834,White not Hispanic
56802,E.22-50,29,Female,42041,Hispanic
56808,D.18-21,21,Female,11202,White not Hispanic
56855,F.51-Over,64,Female,60774,White not Hispanic
57039,E.22-50,22,Female,47954,Hispanic
57141,E.22-50,23,Male,36180,White not Hispanic
57419,A.0-5,5,Female,1632,Hispanic
57420,B.6-12,6,Male,3948,Black
57504,D.18-21,19,Female,12882,White not Hispanic
57550,D.18-21,19,Female,8700,Asian
57601,D.18-21,19,Male,11986,Hispanic
57670,F.51-Over,62,Male,47420,Hispanic
57874,C.13-17,17,Male,4300,Hispanic
57961,C.13-17,13,Male,4787,Hispanic
58075,B.6-12,12,Female,2339,Hispanic
58136,C.13-17,15,Female,4345,Hispanic
58293,C.13-17,14,Female,4768,White not Hispanic
58317,F.51-Over,80,Male,57821,White not Hispanic
58357,D.18-21,20,Female,9061,Hispanic
58565,B.6-12,6,Female,3530,Asian
58680,D.18-21,21,Male,4931,Hispanic
58838,D.18-21,21,Male,10385,Asian
58862,C.13-17,17,Male,3904,White not Hispanic
58870,B.6-12,8,Male,2590,White not Hispanic
58884,E.22-50,34,Female,41522,Black
59001,E.22-50,27,Female,40156,White not Hispanic
59079,D.18-21,18,Male,11479,Hispanic
59154,C.13-17,15,Female,4798,Hispanic
59206,F.51-Over,83,Male,58803,White not Hispanic
59275,D.18-21,21,Male,16133,White not Hispanic
59332,F.51-Over,64,Male,51599,Asian
59343,E.22-50,26,Female,45507,White not Hispanic
59467,B.6-12,8,Female,3544,White not Hispanic
59660,B.6-12,9,Female,1713,Hispanic
59753,C.13-17,14,Female,2462,Hispanic
59881,D.18-21,19,Male,11816,White not Hispanic
60002,C.13-17,17,Male,4531,White not Hispanic
60018,E.22-50,35,Female,36607,White not Hispanic
60037,C.13-17,15,Female,4884,Hispanic
60292,C.13-17,14,Male,4058,Hispanic
60348,A.0-5,5,Female,2019,White not Hispanic
60352,B.6-12,7,Female,3464,Hispanic
60372,B.6-12,12,Male,1539,Hispanic
60425,C.13-17,16,Male,5224,White not Hispanic
60508,F.51-Over,62,Female,49075,Asian
60572,F.51-Over,69,Male,59682,White not Hispanic
60676,D.18-21,21,Female,5066,Hispanic
60864,D.18-21,20,Male,5583,Black
61004,A.0-5,4,Female,456,Hispanic
61019,A.0-5,0,Female,1147,Hispanic
61051,E.22-50,37,Male,30627,White not Hispanic
61120,B.6-12,7,Male,3000,Multi Race
61187,B.6-12,11,Male,2885,Multi Race
61192,D.18-21,20,Male,6255,Asian
61329,D.18-21,18,Female,10068,White not Hispanic
61449,C.13-17,14,Male,5025,Black
61467,A.0-5,1,Female,2157,Asian
61498,C.13-17,13,Female,3726,American Indian
61570,B.6-12,11,Male,1286,Hispanic
61588,E.22-50,24,Female,47674,White not Hispanic
61654,D.18-21,21,Female,4731,Hispanic
61680,C.13-17,16,Male,3839,White not Hispanic
61785,C.13-17,13,Female,1195,White not Hispanic
61806,E.22-50,24,Female,46911,Asian
61887,C.13-17,17,Male,3629,Hispanic
61944,F.51-Over,52,Female,48826,White not Hispanic
61951,D.18-21,21,Male,15718,White not Hispanic
61954,D.18-21,19,Female,5616,Hispanic
62150,E.22-50,29,Male,34708,White not Hispanic
62191,C.13-17,17,Male,3075,Asian
62282,D.18-21,21,Female,6669,White not Hispanic
62302,E.22-50,23,Male,39693,White not Hispanic
62342,B.6-12,9,Male,3552,White not Hispanic
62485,E.22-50,23,Female,27845,Hispanic
62691,B.6-12,10,Female,2409,Hispanic
62913,B.6-12,8,Female,2122,White not Hispanic
