Iteration,Potential_Customers,Actual_Customers,Total_Spending
136,7,3,1037.3109361726551
137,8,7,3119.8135780122566
138,3,3,1502.7909930806318
139,7,5,2308.8925340580404
140,5,4,2274.817572633989
141,6,4,1903.9242059549995
142,6,3,1254.5113109515273
143,8,5,2911.665314275428
144,11,4,1912.9389019594287
145,7,3,1512.4837356072658
146,11,5,2511.4469146374972
147,8,5,2403.330715919772
148,6,5,2280.98144737417
149,8,6,3301.0253039226254
150,4,2,1173.615658828271
151,9,6,3127.353114086835
152,7,3,1483.7417498365135
153,5,3,1312.9948874359106
154,8,6,3045.0341022468815
155,12,6,3005.6195630995944
156,7,4,1798.8098178709483
157,3,3,1269.8574224888969
158,8,5,2722.944189229847
159,9,5,2265.0907106688774
160,6,5,2890.329249164147
161,6,2,832.4367474868125
162,2,2,1193.3325666911865
163,4,2,998.5327327616109
164,11,6,3155.573468026347
165,5,3,1438.983370306003
166,6,1,689.1387849550339
167,5,5,2541.9381100098753
168,11,7,3409.7114960834097
169,3,2,924.842106676339
170,10,7,3703.945729691523
171,9,6,2938.742221675365
172,13,10,5110.707884795359
173,6,2,1146.621046547338
174,5,2,1187.9556682513576
175,6,4,1923.2531252585036
176,5,3,1498.925594168999
177,8,4,2093.5243385496956
178,6,3,1352.4755997813731
179,8,6,2991.7783952820982
180,3,1,414.1550059625314
181,7,2,1151.6052620969233
182,6,5,2738.4279751831928
183,4,3,1415.7879891652171
184,5,2,730.7156887040844
185,8,4,2173.69951948614
186,5,3,1446.6203235663736
187,3,3,1292.2135333585882
188,6,3,1425.8438734111587
189,5,4,1894.4244105350833
190,1,0,0.0
191,8,7,3482.466438697187
192,4,2,1044.489560018143
193,8,5,2611.808449835835
194,6,3,1472.9476630655154
195,3,1,491.69663965072266
196,13,10,4931.160973319809
197,6,6,2799.0378115127687
198,4,2,954.2822980615501
199,7,3,1345.6343912716302
200,6,4,2117.5802196307923
201,12,9,4359.754461196515
202,9,7,3081.5566929799334
203,11,7,3750.7435253219037
204,6,3,1686.1896424083307
205,13,9,4828.056563718231
206,4,2,1039.450617825077
207,9,4,1760.2196571830927
208,9,5,2357.5497893274733
209,6,3,1288.9346010595825
210,8,6,2747.3868761972117
211,7,5,2418.501490065007
212,6,3,1708.505445184136
213,6,2,1089.206549164002
214,5,3,1293.9557061571913
215,5,3,1535.326625051324
216,5,3,1866.613888093313
217,4,3,1245.7635745183723
218,6,2,1086.0408218734806
219,9,3,1765.086450975039
220,11,5,2068.0106387071637
221,7,5,2733.791246518967
222,8,3,1459.0188529648706
223,8,3,1682.4583879638308
224,6,5,2631.0338491056254
225,2,0,0.0
226,5,4,1782.551166927985
227,10,4,2210.3032174685795
228,4,3,1235.9879740665415
229,3,2,1172.3750800232658
230,4,1,599.6858773465808
231,9,6,3083.7223655698212
232,7,5,2227.788472788078
233,3,2,1154.340902774353
234,8,4,2147.2071109262592
235,12,8,3801.1498318551676
236,10,7,3488.2171124592987
237,7,5,2429.5886034734895
238,9,1,469.7954500510136
239,7,6,3136.097021061178
240,5,2,1309.1460408817138
241,13,8,4291.309778501791
242,8,4,2113.9156720559777
243,5,2,1208.1685789108708
244,8,7,3679.6309368490474
245,6,2,994.7546028258766
246,4,0,0.0
247,6,5,2094.8939230094047
248,5,3,1532.0335258475347
249,4,2,1001.5704760132878
250,6,4,1821.5867977328533
251,8,5,2356.264727216035
252,10,7,4084.574689342773
253,4,3,1411.7285565587295
254,7,4,2041.2038068753382
255,5,2,1176.379783883497
256,5,1,434.3804045111557
257,10,5,2518.9277321232057
258,4,2,1098.0983667690011
259,3,3,1324.2502110662572
260,7,4,2096.731623063123
261,5,5,2527.6255536213466
262,10,5,2487.570402442577
263,7,5,2424.020028474095
264,10,9,4089.8110577447087
265,7,5,2614.332226265012
266,10,5,2776.8530446839
267,4,2,1093.6294737637381
268,7,4,1667.3850974964705
269,9,7,3213.937376614825
270,9,6,3097.669191660406
271,6,4,1978.9457550915547
272,5,3,1344.6692726040021
273,4,1,460.4319288243736
274,13,7,3727.3751641433987
275,9,6,3294.7072883019305
276,7,4,1916.0155770979395
277,7,5,2557.9809312997377
278,4,1,486.0602799336766
279,3,3,1558.8310983060146
280,7,4,1892.5374163001434
281,5,2,740.4516002083882
282,4,2,739.2351660434022
283,7,5,2176.5314638361097
284,8,6,3147.1868448406176
285,6,1,466.92107756724425
286,11,5,2889.933097535365
287,7,4,2320.18381984508
288,8,7,3722.0774015230904
289,3,2,980.3182807807352
290,6,2,1357.3335149847223
291,4,1,393.23651493990224
292,10,7,3710.226896823239
293,7,5,2821.1910301207527
294,8,7,3476.4235273044064
295,6,3,1529.1693690186949
296,6,4,2177.119575453041
297,6,5,2341.7524663557065
298,6,3,1856.3504844220479
299,6,4,1789.6798190817428
300,8,7,3121.6081629832092
301,7,3,1812.7972524653915
302,5,2,1162.2773730043937
303,9,7,3575.533990366776
304,7,3,1358.579879434299
305,6,3,1404.8167895806384
306,7,4,2211.6323049556495
307,12,10,4769.314606513137
308,5,2,884.7164702423037
309,5,1,710.367310306172
310,4,3,1407.8392414328086
311,7,7,3319.8529122584823
312,7,5,2738.6753220297996
313,8,6,2829.6149675023416
314,7,4,1867.2975548538475
315,8,5,2536.8710643581708
316,5,2,713.9553141351189
317,9,5,2432.5012002062076
318,6,2,1130.3392700921263
319,9,6,2846.94484874777
320,4,3,1741.2131373911568
321,9,4,2150.6186190042654
322,9,4,2171.9903586383903
323,7,4,1880.3834724136448
324,10,8,3767.1506912427494
325,10,7,3651.1270523936855
326,9,8,4117.377930832525
327,11,5,2653.644080564699
328,6,6,2944.541456523114
329,7,4,1945.9131252783582
330,8,4,1940.8039350305369
331,4,1,561.9809107530301
332,4,2,1062.0465848750764
333,6,6,3125.806731551742
334,7,1,418.698562773987
335,6,4,2193.688667732545
336,0,0,0.0
337,3,2,884.3422403382459
338,7,5,2103.4529748397645
339,3,1,548.5001291523228
340,7,4,1858.657726477457
341,6,4,1945.6032727988568
342,4,3,1491.3645407007186
343,5,1,631.4779825596504
344,9,6,2891.757316920757
345,4,2,1198.8548491775268
346,6,2,1212.4292751966018
347,3,2,828.8675579881694
348,3,1,361.65374881716343
349,2,2,1197.314193927524
350,8,5,2476.573934834791
351,11,5,2654.4929196892463
352,9,5,2466.1872704299753
353,11,8,4138.878871209129
354,7,5,2428.048915210889
355,8,4,2156.257039179239
356,9,6,3186.2157232478003
357,12,8,3888.2162681609443
358,8,5,2501.7412890460473
359,7,6,2948.17786625514
360,3,3,1616.3646106328424
361,5,4,1796.216289206465
362,12,5,2364.3564548178465
363,5,1,529.9647687837348
364,6,3,1625.4279736015085
365,8,6,3144.2983138049462
366,5,2,1143.2795917622132
367,1,1,308.8359449348243
368,10,5,2427.2136086233977
369,6,4,2254.4123349978136
370,8,6,2681.9203536595796
371,6,3,1083.3889680682794
372,3,2,1028.2037079709905
373,11,5,2307.0801170440286
374,8,6,2996.28761804097
375,10,8,3878.2414820255003
376,12,9,4062.4025289285883
377,7,4,2197.8709365010936
378,11,6,3123.165353585817
379,9,5,2887.133001498926
380,7,5,2337.9320626351146
381,8,7,2720.0336414728454
382,8,4,1759.6243494712548
383,4,3,1920.5232216680774
384,4,2,817.4378946959488
385,7,4,2147.4756722879374
386,4,3,1438.1084529800105
387,10,5,2249.771789653282
388,7,5,2057.4843953470095
389,11,7,3166.130317765281
390,5,4,2008.248948120967
391,6,4,1940.3399624929448
392,9,6,3305.1392012985166
393,9,6,2966.837294249867
394,9,5,2083.4714866255795
395,8,3,1567.0558433909157
396,5,2,906.1303895076653
397,5,5,2251.46222916478
398,6,4,2203.725629375632
399,8,4,1928.827135465225
400,5,4,2144.5282346559798
401,7,4,1772.856928017292
402,9,5,2477.6868274562103
403,4,4,2040.2490342167216
404,8,4,2233.4379959762396
405,10,4,1650.1444256799618
406,8,6,3089.131664738948
407,6,6,2896.027229744857
408,8,6,2993.182020350036
409,6,5,2885.456451607745
410,5,3,1468.9201009979781
411,10,9,4402.489659734582
412,3,1,469.03502860119386
413,9,6,2693.3562728177812
414,11,7,3703.999583868028
415,6,4,2128.1514474763585
416,7,4,1793.0681646222943
417,8,6,2735.0403640115314
418,4,3,1702.5819359504453
419,6,2,1092.2816251306933
420,10,3,1929.5455533052125
421,5,5,2864.3899713018322
422,7,6,3076.7541110111506
423,6,2,935.7198226183502
424,7,4,2109.916756766499
425,5,3,1334.4653351641796
426,10,5,2285.658588171298
427,5,4,2118.8201675296114
428,8,5,2403.5985333106178
429,7,6,3239.942481967325
430,5,5,2421.456761795861
431,5,4,2224.128736792163
432,7,4,2014.7449669978882
433,2,1,432.28097623467056
434,6,4,2007.6829157570664
435,6,5,2629.614439734245
436,9,7,3409.0402081984657
437,6,4,1911.982530678797
438,4,0,0.0
439,13,8,4328.981689270007
440,3,2,1067.691452764837
441,9,6,3315.8905349229476
442,10,3,1450.100235807415
443,8,4,1719.8350360263412
444,8,6,3300.3504137720524
445,6,4,2051.981060139635
446,5,3,1580.2024150163893
447,4,2,993.5079433113813
448,9,6,2795.2401171292386
449,9,5,2949.4087213969387
450,7,4,1869.0339012879638
451,6,4,1884.112457995726
452,8,5,2890.0393197324483
453,5,5,2885.437193186906
454,7,4,1729.105825249547
455,6,2,1189.6874665134574
456,9,6,3002.495613116147
457,6,6,2996.495570189851
458,11,8,4165.404931960977
459,8,5,2378.7519914370964
460,4,2,965.817883262981
461,8,7,3412.185444577302
462,6,5,2423.3793801810953
463,7,3,1465.6543242095984
464,7,6,2725.9805819378666
465,10,5,2721.4830796196707
466,11,5,2171.3713694581347
467,5,3,1498.5033107695417
468,6,5,2624.8352660438622
469,6,4,1812.7853905127208
470,11,5,2660.4852254351094
471,7,3,1515.8537878159138
472,6,2,856.4273972606372
473,3,0,0.0
474,7,1,339.0479016919021
475,3,2,955.8861454995251
476,5,2,1162.8389344112984
477,6,3,1493.052047072591
478,7,3,1579.0238482569528
479,6,4,2057.0452018140113
480,6,3,1353.2282220533953
481,11,6,2824.5861243911277
482,6,2,834.5245764694475
483,7,5,2347.2017533662884
484,7,3,1369.360259533952
485,7,2,825.0577717850686
486,9,6,2837.901189020856
487,6,4,2152.424457400018
488,4,3,1593.5180641720426
489,5,2,911.8496255002751
490,7,3,1106.9080288379128
491,4,2,1063.9027416161814
492,8,6,2965.565175589914
493,8,5,2390.4524509137045
494,6,4,1855.0260955533654
495,6,4,2162.956410144173
496,5,4,2588.400198123402
497,9,5,2664.0774300466546
498,11,6,2580.826121594655
499,6,3,1479.9204825496674
500,5,4,1764.7223127739921
501,5,4,1949.969313620746
502,6,5,2825.882214997409
503,6,4,1813.6676977476675
504,9,4,2187.328399895875
505,9,6,3236.4608667982056
506,6,2,1070.6955148473262
507,6,4,2101.413558796714
508,8,4,1774.7891768205448
509,7,5,2731.6591166062926
510,8,3,1495.2364020718596
511,7,4,2030.565854639691
512,8,7,3104.632763136865
513,6,5,2623.1577287636114
514,8,7,3256.656610952152
515,7,2,705.2792634534866
516,4,3,1653.2956029169743
517,5,3,1512.5284257809406
518,4,2,1055.9891695468616
519,9,5,2557.721313871952
520,10,8,3741.4467995953464
521,7,4,2144.807372591984
522,5,5,2518.459406053057
523,9,7,3012.12431807799
524,6,4,1747.8619631851584
525,4,2,1029.1003024166419
526,6,3,1445.6108876753283
527,10,9,4232.9129501187335
528,9,6,3388.249753741771
529,7,2,1158.4264468342844
530,5,3,1684.0146920631637
531,5,3,1811.8157887212756
532,5,3,1543.2337390508087
533,10,8,4071.0353391484687
534,5,4,2277.309930939824
535,6,1,443.0851801327466
536,3,1,530.6950750112526
537,7,5,2247.9220528782835
538,11,4,2091.5893608850056
539,5,5,2089.107422744771
540,5,5,2722.317039515979
541,7,5,2822.970364020233
542,7,2,1382.1278605062791
543,7,3,1467.137341857755
544,10,9,4620.202214840446
545,5,4,2218.7024165185803
546,1,0,0.0
547,5,3,1732.5237455981976
548,7,4,1874.7360252210492
549,6,3,1685.3752787733586
550,6,6,2957.9039572558167
551,6,3,1373.4059621738525
552,3,0,0.0
553,3,3,1601.4539540503106
554,8,4,1990.1976302165697
555,4,1,543.8412699496645
556,8,5,2892.244691285719
557,6,5,2643.3587181836556
558,4,3,1563.3187450963562
559,9,6,2779.6394386036636
560,5,4,2067.240482484206
561,9,4,1974.6851409201352
562,8,5,2392.226357369227
563,4,1,703.500910933479
564,5,3,1503.944582574376
565,6,2,884.7542972057213
566,9,4,2264.0768978893116
567,4,3,1609.126691119839
568,8,3,1573.675784154638
569,11,7,3612.211287123684
570,8,4,1852.8208759976196
571,9,3,1447.8880034347228
572,10,7,3207.7248722663708
573,9,7,3682.6278806509517
574,9,5,2135.487869830953
575,2,2,1103.417725156181
576,8,6,3173.9942461346163
577,8,5,2163.068052878536
578,5,2,797.2066238657287
579,5,5,2563.72677014506
580,6,3,1519.1135051729177
581,4,3,1225.9079008124884
582,7,3,1465.8874831595622
583,7,6,3370.595993959082
584,5,3,1707.591399229591
585,3,1,549.1412756355527
586,5,4,2127.8389862263566
587,4,0,0.0
588,6,4,2383.476199249685
589,5,5,1802.2393777746838
590,4,1,619.545271175298
591,7,3,1668.925171354089
592,11,4,2268.823969210282
593,6,4,1925.662395900123
594,8,6,2723.8002536878093
595,7,4,1820.3139649581722
596,14,10,4687.7713083662875
597,3,3,1438.2394440588434
598,5,2,956.1412890433
599,6,3,1656.418367426035
600,7,2,988.6780538431631
601,8,6,2725.1656651871654
602,4,1,524.6809318180852
603,7,6,2938.218921923786
604,6,3,1574.9313746409048
605,10,6,3078.3782078260797
606,6,2,1247.7160049850313
607,9,3,1447.1498078987509
608,7,3,1907.903022570962
609,9,5,2219.2195833299497
610,10,6,3296.867379548536
611,8,4,2015.9464397791867
612,4,0,0.0
613,5,2,984.4282236482062
614,4,2,1119.902669577079
615,9,5,2009.3498824950773
616,7,4,2414.5651858591436
617,6,4,1909.6727331983225
618,3,2,838.7400395422876
619,5,5,2924.5030465004056
620,9,8,4326.48330141229
621,10,7,3046.8386486720965
622,5,5,2895.548190643073
623,6,4,2095.805686350046
624,5,3,1620.8642362840258
625,8,7,3520.3732948383404
626,9,4,1880.5044932011174
627,8,7,3204.194378744728
628,7,4,1863.4905950145403
629,5,2,905.744014288086
630,8,4,1824.1669100990548
631,3,1,630.9444101402648
632,4,2,943.913522168554
633,7,3,1617.8842214707965
634,12,6,2871.950757583151
635,6,3,1422.0762505590524
636,6,3,1021.0431513984763
637,10,6,2920.9611452878353
638,3,2,1130.8699688406998
639,5,4,2245.998740361416
640,6,3,1446.5451225861943
641,7,5,2670.291109864666
642,6,4,1855.0177691589804
643,7,3,1671.5320242520131
644,6,4,1888.5646002898484
645,9,7,3116.854692326904
646,10,7,3167.4197714785228
647,7,3,1410.119722641911
648,6,3,1540.2416964362492
649,14,5,2631.425154235155
650,9,3,1598.1095443278791
651,7,4,2071.471467010641
652,11,8,3972.593799629805
653,6,2,1083.7939719047831
654,10,6,3228.361124000782
655,7,5,2535.696403159556
656,5,3,1509.5266580077473
657,9,5,2286.1549013724366
658,7,5,2118.4686162513767
659,7,6,3148.937723748703
660,13,9,4536.451945599167
661,8,6,2816.4911839165056
662,11,6,3186.4355901929694
663,4,2,1007.9290720062693
664,11,5,2581.915525663901
665,3,2,1114.964526625436
666,9,9,3511.3816448668485
667,6,3,1364.8221426381572
668,12,6,2773.9287053898474
669,4,1,403.3118474035982
670,6,4,2367.649859301373
671,8,5,2520.509943086101
672,7,5,2230.138737656078
673,11,9,4435.969058073088
674,9,6,2895.541032569569
675,4,3,1456.2878877370813
676,9,4,1743.792298309565
677,7,6,3018.425250818692
678,6,3,1222.2970933379406
679,7,7,3440.156646922286
680,10,6,3082.796485393628
681,5,3,1177.1354089064862
682,3,2,798.1283410045373
683,7,5,2813.313773939517
684,4,2,1145.7320153997623
685,7,4,1895.5923343002614
686,9,5,2773.1824674560007
687,6,4,1877.9189943048602
688,5,4,2317.8846394493626
689,6,5,2957.1287906099765
690,3,3,1719.8148249545857
691,6,5,2525.640439400562
692,11,8,4115.7187298361
693,6,4,1890.7368406094176
694,10,5,2252.669984980538
695,11,5,2862.64567808919
696,3,1,479.56442733543514
697,10,6,3270.7351503922396
698,8,5,2246.745959063885
699,4,3,1266.7548374909547
700,8,4,2166.232439775717
701,3,2,904.1416760938987
702,3,3,1451.281224061548
703,10,7,3430.8407626791954
704,7,5,2403.852926671446
705,9,8,3679.455791543699
706,7,5,2527.0179669169647
707,6,3,1689.1062078232906
708,4,3,1483.2926817222155
709,3,1,530.0749017180796
710,6,2,1129.289753945211
711,6,5,2226.829548927819
712,6,3,1534.41228847909
713,11,3,1956.7581175214957
714,7,5,2548.10887746345
715,8,6,2419.0468467097535
716,4,4,1978.438819465705
717,9,8,4269.90011644964
718,9,4,1914.345912568449
719,8,5,2212.878525121151
720,5,2,1165.876661459908
721,7,4,2063.6290282802147
722,6,5,2449.3847735933887
723,10,9,4566.418497535263
724,9,6,2912.203284630919
725,5,3,1733.6909627400248
726,6,2,1173.8971954774247
727,8,5,2297.4949970979824
728,3,0,0.0
729,8,4,2041.1065682991357
730,7,4,1690.7729591514694
731,7,3,1390.194200816824
732,8,5,2621.5735276219066
733,8,5,2953.5894518805826
734,11,5,2686.899255567967
735,7,5,2213.002496338359
736,8,5,2310.4465324205175
737,7,4,1855.2521100637564
738,11,3,1545.9607797815058
739,6,4,1585.9829019740987
740,7,4,2042.8767253645287
741,3,0,0.0
742,3,2,1105.921085877234
743,4,4,1787.1253444866609
744,7,4,2166.9375292697828
745,9,4,1872.5455382548432
746,6,2,976.7591644873357
747,9,4,1954.2894283506653
748,13,8,4338.147842219045
749,9,6,2852.83252603193
750,12,9,4505.535713630608
751,8,4,2115.234868888049
752,12,5,2370.6528564893542
753,4,3,1467.6011345922593
754,4,2,1123.0988019783472
755,7,4,1992.9398983042915
756,9,5,2566.523476351276
757,6,4,2109.207432312952
758,9,6,2790.6322454742826
759,8,5,2726.097944741521
760,6,3,1624.768629606503
761,7,7,3757.7666776686083
762,5,2,1052.5469007699153
763,5,3,1589.8349638896225
764,5,2,1126.879668796416
765,9,8,4231.070247360551
766,11,6,2792.7716121331428
767,8,7,3997.510384139434
768,7,6,3159.6079657234295
769,7,6,2922.768601009845
770,7,4,1906.1883157292805
771,5,2,1008.0370337149193
772,9,7,3603.015935707441
773,8,5,2108.215772686953
774,10,6,3132.6437614028255
775,4,2,1112.6165196617405
776,9,8,4004.541734914471
777,10,6,3172.496736645113
778,11,7,3649.219257215677
779,5,5,2073.4486136585147
780,6,5,2546.9430991414642
781,7,5,2644.871529984205
782,9,8,4135.693259010086
783,7,5,2466.958942051532
784,8,5,2151.4070861848286
785,10,6,3083.2989510883745
786,12,6,2804.3187776588616
787,7,4,2072.7639432436436
788,3,1,465.62434804898896
789,6,4,1885.8702390678632
790,8,5,2225.6089946690013
791,7,5,2689.2247422793916
792,5,4,2212.890732776719
793,5,3,1325.9068193667824
794,6,2,731.183255150971
795,6,4,1777.7382652658848
796,3,3,1483.2770981078872
797,11,4,1583.5804413128105
798,6,4,2081.3779471055595
799,3,2,933.624305388029
800,9,6,3270.891165483039
801,7,4,2091.5828237876917
802,9,4,2088.349775228235
803,4,3,1794.2069981414834
804,9,5,2402.8470011297304
805,11,5,2508.6659324003836
806,4,3,1494.7622531156353
807,4,3,1514.9173734436972
808,6,3,1556.8975906388514
809,7,4,2269.948698792102
810,6,2,843.9349471100264
811,6,3,1696.2108876441375
812,7,5,2443.8401033330865
813,9,5,2389.221015759238
814,12,5,2319.165248886784
815,2,1,579.6340019748832
816,5,3,1576.9479444373233
817,8,5,2576.568685006248
818,9,4,1803.16094974253
819,5,4,1866.195441916334
820,2,1,286.1011106386262
821,13,7,3041.4053210408683
822,7,3,1724.2975317169635
823,4,3,1138.0958790184181
824,6,2,924.748598524486
825,9,3,1358.0070271744685
826,9,7,3202.438860962662
827,8,4,1438.8302973242285
828,10,10,5179.741356394923
829,6,6,2944.6094101615
830,12,3,1320.589594123272
831,5,0,0.0
832,4,4,1969.0133190632007
833,10,4,1959.7237432380462
834,5,5,2656.981925720866
835,12,6,2877.2494341296156
836,8,4,1801.2899569029405
837,5,4,2059.4210776258424
838,6,3,1462.8789081132427
839,4,4,1946.8924590291244
840,3,1,680.541684641978
841,4,3,1585.8499012771695
842,9,3,1170.0441747363138
843,6,4,2012.861826335712
844,5,3,1230.1958369993147
845,6,1,563.1016571988494
846,4,2,966.6726923988301
847,13,6,3078.341788459161
848,10,7,3583.4205574602156
849,9,7,3814.6843121506677
850,9,4,2189.915327219309
851,2,2,1301.207481158862
852,7,5,2601.7350287066656
853,7,3,1724.7547435636568
854,12,8,4050.4345880975916
855,5,4,1681.7350768028432
856,4,3,1436.8820806583915
857,9,2,1338.9957991677231
858,4,1,613.6455574324846
859,8,6,2834.764544638444
860,6,6,3175.3674536619446
861,8,7,3239.2769452905027
862,10,8,4621.794117263785
863,8,5,2307.746260830042
864,9,6,3057.409418634559
865,8,3,1500.2412367248971
866,8,4,1837.4053801833227
867,8,4,2214.022127653326
868,7,3,1633.1604675562949
869,6,4,2012.9062907019538
870,6,4,1824.6601199858176
871,8,6,3305.6647882605926
872,8,6,3103.639169148224
873,9,2,881.0308797076409
874,8,6,3047.951389715672
875,5,2,816.6509149171616
876,7,4,1602.892658417536
877,4,2,820.8870955111711
878,5,4,2368.7878887231627
879,4,0,0.0
880,10,3,1442.5832742507046
881,2,2,1051.350708618063
882,4,2,1169.964372090817
883,3,0,0.0
884,7,6,3464.902668996946
885,9,5,2567.599234769903
886,4,2,1042.933482708883
887,10,8,3466.693292406185
888,7,5,2595.9129597342176
889,9,8,4264.273184023068
890,9,7,3421.3250917117716
891,9,7,3473.9949878804046
892,8,4,2133.556487987147
893,8,4,2132.4962097037387
894,7,6,2911.2954629895867
895,11,8,4087.739462016726
896,5,3,1909.3911786994768
897,6,3,1743.9604585690097
898,7,5,2709.940265015733
899,5,1,289.7399308078978
900,11,6,2562.4125695062194
901,3,3,1347.2387887292339
902,7,5,2065.7237642155096
903,8,5,2293.6834288855493
904,8,5,2300.3590878312057
905,8,4,2434.7308556715207
906,5,4,2075.9820426156957
907,6,2,1000.66896245826
908,12,7,3380.090954151818
909,11,8,3652.5836806257785
910,9,1,452.14457332822815
911,5,3,1534.936896888912
912,3,2,1042.3656887055065
913,3,1,419.7134759766071
914,6,1,503.4769014593268
915,3,1,463.2977385278358
916,15,12,5706.020528140655
917,13,7,3629.310150642792
918,14,10,4857.261788774572
919,9,7,3338.7111553992613
920,3,2,1029.7963952452155
921,9,4,1657.375922107403
922,5,3,1472.5349410016834
923,6,5,2325.8052273823914
924,8,7,3791.1010702142385
925,7,7,4044.3983333418996
926,5,3,1505.9756105332187
927,10,7,3439.6182825841047
928,7,3,1212.456786817284
929,4,4,1979.6774059622544
930,7,5,2624.900667963739
931,9,6,2728.84442240668
932,8,3,1448.816649648278
933,5,3,1500.3289654728405
934,6,1,627.2483330848759
935,8,5,2358.1209567026303
936,6,3,1550.9132525514897
937,6,2,1126.0958721749068
938,5,2,1037.2527974892632
939,6,3,1317.2742152849814
940,5,5,1946.764959821896
941,6,5,2708.9887401604783
942,8,5,2670.0125828296927
943,11,5,2411.1363501325054
944,9,6,2914.455436016354
945,3,1,479.1794742010034
946,8,4,1945.5360862808232
947,5,1,640.4316281994952
948,8,3,1345.2298662908909
949,8,7,3248.5659258857304
950,7,4,2049.258615952871
951,7,4,1969.4649585096765
952,7,2,1463.4726156125457
953,7,3,1486.7570100377172
954,8,6,2442.37495121439
955,6,4,1937.0449752600641
956,6,5,2555.2564567595928
957,13,12,6415.651871598024
958,5,4,2238.275814899859
959,11,7,3423.053686445017
960,8,4,1843.704305134589
961,6,2,999.3098113756466
962,9,4,2197.6696198826403
963,6,4,1742.1288941457042
964,4,2,1142.1628299505423
965,10,6,2784.6990148060568
